paper_id,researcher_name,university_name,country,university_rank,university_name,country,score
0,Catholijn Jonker,Delft University of Technology,The Netherlands,69,Delft University of Technology,Netherlands,59.1
0,Maria Gini,University of Minnesota,USA,46,University of Minnesota,United States,64.9
1,Batya Friedman,University of Washington,USA,25,University of Washington,United States,73.4
2,Barbara J. Grosz,Harvard University,USA,2,Harvard University,United States,93.9
3,Jeffrey S. Rosenschein,The Hebrew University of Jerusalem,Israel,191,Hebrew University of Jerusalem,Israel,45.0
4,Nannan Cao,National University of Singapore,Singapore,26,National University of Singapore (NUS),Singapore,72.4
4,Kian Hsiang Low,National University of Singapore,Singapore,26,National University of Singapore (NUS),Singapore,72.4
4,John M. Dolan,Carnegie Mellon University,USA,24,Carnegie Mellon University,United States,76.0
5,Eliahu Khalastchi,Ben-Gurion University of the Negev,Israel
5,Meir Kalech,Ben-Gurion University of the Negev,Israel
5,Lior Rokach,Ben-Gurion University of the Negev,Israel
6,Danesh Tarapore,"Institute for Systems and Robotics (ISR), Instituto Superior Técnico & Instituto Gulbenkian de Ciência",Portugal
6,Anders Lynhe Christensen,"Instituto de Telecomunicacões, Instituto Universitário de Lisboa",Portugal
6,Pedro U. Lima,"Institute for Systems and Robotics (ISR), Instituto Superior Técnico",Portugal
6,Jorge Carneiro,Instituto Gulbenkian de Ciência,Portugal
7,Evan Krause,Tufts University,USA,80,Tufts University,United States,56.1
7,Rehj Cantrell,Indiana University,USA,132,Indiana University,United States,50.1
7,Ekaterina Potapova,Vienna University of Technology,Austria,226-250,Vienna University of Technology,Austria,Data withheld by THE
7,Michael Zillich,Vienna University of Technology,Austria,226-250,Vienna University of Technology,Austria,Data withheld by THE
7,Matthias Scheutz,Tufts University,USA,80,Tufts University,United States,56.1
8,Michael Rubenstein,Harvard University,USA,2,Harvard University,United States,93.9
8,Adrian Cabrera,Harvard University & EPFL,USA
8,Justin Werfel,Harvard University,USA,2,Harvard University,United States,93.9
8,Golnaz Habibi,Rice University,USA,65,Rice University,United States,59.8
8,James McLurkin,Rice University,USA,65,Rice University,United States,59.8
8,Radhika Nagpal,Harvard University,USA,2,Harvard University,United States,93.9
9,Sayan D. Sen,Vanderbilt University,USA,88,Vanderbilt University,United States,55.0
9,Julie A. Adams,Vanderbilt University,USA,88,Vanderbilt University,United States,55.0
10,Aris Valtazanos,University of Edinburgh,UK,39,University of Edinburgh,United Kingdom,67.5
10,Subramanian Ramamoorthy,University of Edinburgh,UK,39,University of Edinburgh,United Kingdom,67.5
11,Tekin Meriçli,Boğaziçi University,Turkey,199,Boğaziçi University,Turkey,44.3
11,Manuela Veloso,Carnegie Mellon University,USA,24,Carnegie Mellon University,United States,76.0
11,H. Levent Akin,Boğaziçi University,Turkey,199,Boğaziçi University,Turkey,44.3
12,Andreas Kolling,Linköping University,Sweden,301-350,Linköping University,Sweden,Data withheld by THE
12,Alexander Kleiner,Linköping University,Sweden,301-350,Linköping University,Sweden,Data withheld by THE
13,Boris de Wilde,Delft University of Technology,The Netherlands,69,Delft University of Technology,Netherlands,59.1
13,Adriaan W. ter Mors,Delft University of Technology,The Netherlands,69,Delft University of Technology,Netherlands,59.1
